# Wordlist

# META
@vowels:T V _

# DATA
ID	COGNACY	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
142	8	here	тут	tut	Russian	t u t	1 7 1	AXN	tut	9	9.t.C 9.u.V 9.t.c	2.0 1.5 0.8	0	313	t u t - -
143	8	here	ту	tu	Rusyn	t u	1 7	AX	tu	10	10.t.C 10.u.V	2.0 1.5	0	313	t u - - -
144	8	here	тут	tut	Ukrainian	t u t	1 7 1	AXN	tut	15	15.t.C 15.u.V 15.t.c	2.0 1.5 0.8	0	313	t u t - -
#
1073	67	horn	horn	hɔːn	English	h ɔː n	3 7 4	AXN	hon	4	4.h.C 4.o.V 4.n.c	2.0 1.5 0.8	0	321	h ɔː n
1075	67	horn	roh	oː	Czech	oː	7	X	o	3	3.o.V	1.5	0	320	oː
1076	67	horn	róg	ruk	Polish	r u k	5 7 1	AXN	ruk	8	8.r.C 8.u.V 8.k.c	2.0 1.5 0.8	0	318	r u k -
1077	67	horn	roh	oː	Slovak	oː	7	X	o	13	13.o.V	1.5	0	320	oː
1078	67	horn	rog	ɹɒdʒ	Lower Sorbian	ɹ ɒ d ʒ	5 7 1 3	AXBC	rodZ	5	5.r.C 5.o.V 5.d.C 5.Z.C	2.0 1.5 1.75 1.5	0	318	ɹ ɒ d ʒ
1080	67	horn	рог	rok	Bulgarian	r o k	5 7 1	AXN	rok	2	2.r.C 2.o.V 2.k.c	2.0 1.5 0.8	0	318	r o k -
1081	67	horn	рог	rok	Macedonian	r o k	5 7 1	AXN	rok	6	6.r.C 6.o.V 6.k.c	2.0 1.5 0.8	0	318	r o k -
1082	67	horn	rog	ɹɒdʒ	Serbo-Croatian Latin	ɹ ɒ d ʒ	5 7 1 3	AXBC	rodZ	12	12.r.C 12.o.V 12.d.C 12.Z.C	2.0 1.5 1.75 1.5	0	318	ɹ ɒ d ʒ
1083	67	horn	рог	rok	Serbo-Croatian Cyrillic	r o k	5 7 1	AXN	rok	11	11.r.C 11.o.V 11.k.c	2.0 1.5 0.8	0	318	r o k -
1084	67	horn	rog	ɹɒdʒ	Slovene	ɹ ɒ d ʒ	5 7 1 3	AXBC	rodZ	14	14.r.C 14.o.V 14.d.C 14.Z.C	2.0 1.5 1.75 1.5	0	318	ɹ ɒ d ʒ
1085	67	horn	рог	rok	Belarusian	r o k	5 7 1	AXN	rok	1	1.r.C 1.o.V 1.k.c	2.0 1.5 0.8	0	318	r o k -
1086	67	horn	рог	rok	Russian	r o k	5 7 1	AXN	rok	9	9.r.C 9.o.V 9.k.c	2.0 1.5 0.8	0	318	r o k -
#
225	14	how	how	haʊ	English	h aʊ	3 7	AX	ha	4	4.h.C 4.a.V	2.0 1.5	0	325	h aʊ
226	14	how	како	kâko	Old Church Slavonic	k â k o	1 7 1 7	AXBZ	kako	7	7.k.C 7.a.V 7.k.C 7.o.V	2.0 1.5 1.75 0.8	0	323	k â k o
227	14	how	jak	jak	Czech	j a k	6 7 1	AXN	yak	3	3.y.C 3.a.V 3.k.c	2.0 1.5 0.8	0	323	j a k -
228	14	how	jak	jak	Polish	j a k	6 7 1	AXN	yak	8	8.y.C 8.a.V 8.k.c	2.0 1.5 0.8	0	323	j a k -
229	14	how	ako	ako	Slovak	a k o	7 1 7	XBZ	ako	13	13.a.V 13.k.C 13.o.V	1.5 1.75 0.8	0	323	- a k o
230	14	how	kak	ɑk	Lower Sorbian	ɑ k	7 1	XN	ok	5	5.o.V 5.k.c	1.5 0.8	0	323	- ɑ k -
231	14	how	kak	ɑk	Upper Sorbian	ɑ k	7 1	XN	ok	16	16.o.V 16.k.c	1.5 0.8	0	323	- ɑ k -
232	14	how	как	kak	Bulgarian	k a k	1 7 1	AXN	kak	2	2.k.C 2.a.V 2.k.c	2.0 1.5 0.8	0	323	k a k -
233	14	how	како	kâko	Macedonian	k â k o	1 7 1 7	AXBZ	kako	6	6.k.C 6.a.V 6.k.C 6.o.V	2.0 1.5 1.75 0.8	0	323	k â k o
234	14	how	kako	kâko	Serbo-Croatian Latin	k â k o	1 7 1 7	AXBZ	kako	12	12.k.C 12.a.V 12.k.C 12.o.V	2.0 1.5 1.75 0.8	0	323	k â k o
235	14	how	како	kâko	Serbo-Croatian Cyrillic	k â k o	1 7 1 7	AXBZ	kako	11	11.k.C 11.a.V 11.k.C 11.o.V	2.0 1.5 1.75 0.8	0	323	k â k o
236	14	how	kako	kâko	Slovene	k â k o	1 7 1 7	AXBZ	kako	14	14.k.C 14.a.V 14.k.C 14.o.V	2.0 1.5 1.75 0.8	0	323	k â k o
237	14	how	як	jak	Belarusian	j a k	6 7 1	AXN	yak	1	1.y.C 1.a.V 1.k.c	2.0 1.5 0.8	0	323	j a k -
238	14	how	как	kak	Russian	k a k	1 7 1	AXN	kak	9	9.k.C 9.a.V 9.k.c	2.0 1.5 0.8	0	323	k a k -
239	14	how	як	jak	Rusyn	j a k	6 7 1	AXN	yak	10	10.y.C 10.a.V 10.k.c	2.0 1.5 0.8	0	323	j a k -
240	14	how	як	jak	Ukrainian	j a k	6 7 1	AXN	yak	15	15.y.C 15.a.V 15.k.c	2.0 1.5 0.8	0	323	j a k -
#
641	40	husband	husband	ˈhʌzbənd	English	ˈh ʌ z b ə n d	3 7 3 1 7 4 1	AXMBYLN	hozbInd	4	4.h.C 4.o.V 4.z.c 4.b.C 4.I.V 4.n.c 4.d.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	0	329	ˈh ʌ z b ə n d
643	40	husband	muž	muʃ	Czech	m u ʃ	4 7 3	AXN	muS	3	3.m.C 3.u.V 3.S.c	2.0 1.5 0.8	0	326	m u - ʃ
644	40	husband	mąż	mɔwʂ	Polish	m ɔ w ʂ	4 7 6 3	AXLN	mowS	8	8.m.C 8.o.V 8.w.c 8.S.c	2.0 1.5 1.1 0.8	0	326	m ɔ w ʂ
645	40	husband	manžel	ˈmanʒɛl	Slovak	ˈm a n ʒ ɛ l	4 7 4 3 7 5	AXMBYN	manZEl	13	13.m.C 13.a.V 13.n.c 13.Z.C 13.E.V 13.l.c	2.0 1.5 1.1 1.75 1.3 0.8	0	337	ˈm a n ʒ ɛ l
646	40	husband	cłowjek	ˈtswovʲɛk	Lower Sorbian	ˈt s w o vʲ ɛ k	1 3 6 7 3 7 1	ACCXBYN	tswovEk	5	5.t.C 5.s.C 5.w.C 5.o.V 5.v.C 5.E.V 5.k.c	2.0 1.5 1.5 1.5 1.75 1.3 0.8	0	330	ˈt s w o vʲ ɛ k
648	40	husband	съпруг	səˈpruk	Bulgarian	s ə ˈp r u k	3 7 1 5 7 1	AXBCYN	sIpruk	2	2.s.C 2.I.V 2.p.C 2.r.C 2.u.V 2.k.c	2.0 1.5 1.75 1.5 1.3 0.8	0	327	s ə ˈp r u k
649	40	husband	маж	maʃ	Macedonian	m a ʃ	4 7 3	AXN	maS	6	6.m.C 6.a.V 6.S.c	2.0 1.5 0.8	0	326	m a - ʃ
650	40	husband	muž	muʃ	Serbo-Croatian Latin	m u ʃ	4 7 3	AXN	muS	12	12.m.C 12.u.V 12.S.c	2.0 1.5 0.8	0	326	m u - ʃ
651	40	husband	муж	mʊtɕ	Serbo-Croatian Cyrillic	m ʊ t ɕ	4 7 1 3	AXBC	mutS	11	11.m.C 11.u.V 11.t.C 11.S.C	2.0 1.5 1.75 1.5	0	326	m ʊ t ɕ
652	40	husband	mož	ˈmóːʃ	Slovene	ˈm óː ʃ	4 7 3	AXN	moS	14	14.m.C 14.o.V 14.S.c	2.0 1.5 0.8	0	326	ˈm óː - ʃ
653	40	husband	муж	mʊtɕ	Belarusian	m ʊ t ɕ	4 7 1 3	AXBC	mutS	1	1.m.C 1.u.V 1.t.C 1.S.C	2.0 1.5 1.75 1.5	0	326	m ʊ t ɕ
654	40	husband	муж	mʊtɕ	Russian	m ʊ t ɕ	4 7 1 3	AXBC	mutS	9	9.m.C 9.u.V 9.t.C 9.S.C	2.0 1.5 1.75 1.5	0	326	m ʊ t ɕ
655	40	husband	муж	mʊtɕ	Rusyn	m ʊ t ɕ	4 7 1 3	AXBC	mutS	10	10.m.C 10.u.V 10.t.C 10.S.C	2.0 1.5 1.75 1.5	0	326	m ʊ t ɕ
656	40	husband	муж	mʊtɕ	Ukrainian	m ʊ t ɕ	4 7 1 3	AXBC	mutS	15	15.m.C 15.u.V 15.t.C 15.S.C	2.0 1.5 1.75 1.5	0	326	m ʊ t ɕ
#
2625	164	ice	ice	aɪs	English	aɪ s	7 3	XN	as	4	4.a.V 4.s.c	1.5 0.8	0	341	- - aɪ s
2627	164	ice	led	ˈlɛd	Czech	ˈl ɛ d	5 7 1	AXN	lEd	3	3.l.C 3.E.V 3.d.c	2.0 1.5 0.8	0	338	ˈl ɛ d
2628	164	ice	lód	lut	Polish	l u t	5 7 1	AXN	lut	8	8.l.C 8.u.V 8.t.c	2.0 1.5 0.8	0	338	l u t
2629	164	ice	ľad	ˈʎat	Slovak	ˈʎ a t	5 7 1	AXN	lat	13	13.l.C 13.a.V 13.t.c	2.0 1.5 0.8	0	338	ˈʎ a t
2630	164	ice	lod	lɔd	Lower Sorbian	l ɔ d	5 7 1	AXN	lod	5	5.l.C 5.o.V 5.d.c	2.0 1.5 0.8	0	338	l ɔ d
2631	164	ice	lód	lut	Upper Sorbian	l u t	5 7 1	AXN	lut	16	16.l.C 16.u.V 16.t.c	2.0 1.5 0.8	0	338	l u t
2632	164	ice	лед	lɛt	Bulgarian	l ɛ t	5 7 1	AXN	lEt	2	2.l.C 2.E.V 2.t.c	2.0 1.5 0.8	0	338	l ɛ t
2633	164	ice	мраз	mras	Macedonian	m r a s	4 5 7 3	ACXN	mras	6	6.m.C 6.r.C 6.a.V 6.s.c	2.0 1.5 1.5 0.8	0	341	m r a s
2634	164	ice	led	ˈlɛd	Serbo-Croatian Latin	ˈl ɛ d	5 7 1	AXN	lEd	12	12.l.C 12.E.V 12.d.c	2.0 1.5 0.8	0	338	ˈl ɛ d
2635	164	ice	лед	lɛt	Serbo-Croatian Cyrillic	l ɛ t	5 7 1	AXN	lEt	11	11.l.C 11.E.V 11.t.c	2.0 1.5 0.8	0	338	l ɛ t
2636	164	ice	led	ˈlɛd	Slovene	ˈl ɛ d	5 7 1	AXN	lEd	14	14.l.C 14.E.V 14.d.c	2.0 1.5 0.8	0	338	ˈl ɛ d
2637	164	ice	лёд	lʲɵt	Belarusian	lʲ ɵ t	5 7 1	AXN	lIt	1	1.l.C 1.I.V 1.t.c	2.0 1.5 0.8	0	338	lʲ ɵ t
2638	164	ice	лёд	lʲɵt	Russian	lʲ ɵ t	5 7 1	AXN	lIt	9	9.l.C 9.I.V 9.t.c	2.0 1.5 0.8	0	338	lʲ ɵ t
2639	164	ice	лед	lɛt	Rusyn	l ɛ t	5 7 1	AXN	lEt	10	10.l.C 10.E.V 10.t.c	2.0 1.5 0.8	0	338	l ɛ t
#
3265	204	if	if	ɪf	English	ɪ f	7 3	XN	if	4	4.i.V 4.f.c	1.5 0.8	0	343	ɪ f
3268	204	if	jeśli	ˈjɛɕlʲi	Polish	ˈj ɛ ɕ lʲ i	6 7 3 5 7	AXBCZ	yESli	8	8.y.C 8.E.V 8.S.C 8.l.C 8.i.V	2.0 1.5 1.75 1.5 0.8	0	344	ˈj ɛ ɕ lʲ i
3269	204	if	ak	ak	Slovak	a k	7 1	XN	ak	13	13.a.V 13.k.c	1.5 0.8	0	342	a k -
3270	204	if	joli	ʒɔli	Lower Sorbian	ʒ ɔ l i	3 7 5 7	AXBZ	Zoli	5	5.Z.C 5.o.V 5.l.C 5.i.V	2.0 1.5 1.75 0.8	0	344	ʒ ɔ - l i
3272	204	if	ако	âko	Bulgarian	â k o	7 1 7	XBZ	ako	2	2.a.V 2.k.C 2.o.V	1.5 1.75 0.8	0	342	â k o
3273	204	if	ако	âko	Macedonian	â k o	7 1 7	XBZ	ako	6	6.a.V 6.k.C 6.o.V	1.5 1.75 0.8	0	342	â k o
3274	204	if	ako	ako	Serbo-Croatian Latin	a k o	7 1 7	XBZ	ako	12	12.a.V 12.k.C 12.o.V	1.5 1.75 0.8	0	342	a k o
3275	204	if	ако	âko	Serbo-Croatian Cyrillic	â k o	7 1 7	XBZ	ako	11	11.a.V 11.k.C 11.o.V	1.5 1.75 0.8	0	342	â k o
3276	204	if	če	tʃɛ	Slovene	t ʃ ɛ	1 3 7	ACX	tSE	14	14.t.C 14.S.C 14.E.V	2.0 1.5 1.5	0	351	t ʃ ɛ
3278	204	if	если	ˈjesʲlʲɪ	Russian	ˈj e sʲ lʲ ɪ	6 7 3 5 7	AXBCZ	yesli	9	9.y.C 9.e.V 9.s.C 9.l.C 9.i.V	2.0 1.5 1.75 1.5 0.8	0	344	ˈj e sʲ lʲ ɪ
#
3217	201	in	in	ɪn	English	ɪ n	7 4	XN	in	4	4.i.V 4.n.c	1.5 0.8	0	355	ɪ n
3219	201	in	v	v	Czech	v	3	A	v	3	3.v.C	2.0	0	353	v -
3220	201	in	w	ˈdʌbljuː	Polish	ˈd ʌ b l j uː	1 7 1 5 6 7	AXBCCZ	doblyu	8	8.d.C 8.o.V 8.b.C 8.l.C 8.y.C 8.u.V	2.0 1.5 1.75 1.5 1.5 0.8	0	356	ˈd ʌ b l j uː
3221	201	in	v	v	Slovak	v	3	A	v	13	13.v.C	2.0	0	353	v -
3222	201	in	w	ˈdʌbljuː	Lower Sorbian	ˈd ʌ b l j uː	1 7 1 5 6 7	AXBCCZ	doblyu	5	5.d.C 5.o.V 5.b.C 5.l.C 5.y.C 5.u.V	2.0 1.5 1.75 1.5 1.5 0.8	0	356	ˈd ʌ b l j uː
3223	201	in	w	ˈdʌbljuː	Upper Sorbian	ˈd ʌ b l j uː	1 7 1 5 6 7	AXBCCZ	doblyu	16	16.d.C 16.o.V 16.b.C 16.l.C 16.y.C 16.u.V	2.0 1.5 1.75 1.5 1.5 0.8	0	356	ˈd ʌ b l j uː
3224	201	in	в	w	Bulgarian	w	6	A	w	2	2.w.C	2.0	1	353	w -
3225	201	in	во	və	Macedonian	v ə	3 7	AX	vI	6	6.v.C 6.I.V	2.0 1.5	0	353	v ə
3226	201	in	u	u	Serbo-Croatian Latin	u	7	X	u	12	12.u.V	1.5	1	352	u
3227	201	in	у	u	Serbo-Croatian Cyrillic	u	7	X	u	11	11.u.V	1.5	1	352	u
3228	201	in	v	v	Slovene	v	3	A	v	14	14.v.C	2.0	1	353	v -
3229	201	in	у	u	Belarusian	u	7	X	u	1	1.u.V	1.5	0	352	u
3230	201	in	в	w	Russian	w	6	A	w	9	9.w.C	2.0	0	353	w -
3231	201	in	в	w	Rusyn	w	6	A	w	10	10.w.C	2.0	0	353	w -
3232	201	in	в	w	Ukrainian	w	6	A	w	15	15.w.C	2.0	0	353	w -
#
1297	81	knee	knee	niː	English	n iː	4 7	AX	ni	4	4.n.C 4.i.V	2.0 1.5	0	359	n iː
1299	81	knee	koleno	ˈkolɛno	Czech	ˈk o l ɛ n o	1 7 5 7 4 7	AXBYBZ	kolEno	3	3.k.C 3.o.V 3.l.C 3.E.V 3.n.C 3.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	ˈk o l ɛ n o
1300	81	knee	kolano	kɔˈlanɔ	Polish	k ɔ ˈl a n ɔ	1 7 5 7 4 7	AXBYBZ	kolano	8	8.k.C 8.o.V 8.l.C 8.a.V 8.n.C 8.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	k ɔ ˈl a n ɔ
1301	81	knee	koleno	ˈkolɛno	Slovak	ˈk o l ɛ n o	1 7 5 7 4 7	AXBYBZ	kolEno	13	13.k.C 13.o.V 13.l.C 13.E.V 13.n.C 13.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	ˈk o l ɛ n o
1302	81	knee	kóleno	ˈkɨlɛnɔ	Lower Sorbian	ˈk ɨ l ɛ n ɔ	1 7 5 7 4 7	AXBYBZ	kIlEno	5	5.k.C 5.I.V 5.l.C 5.E.V 5.n.C 5.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	ˈk ɨ l ɛ n ɔ
1303	81	knee	koleno	ˈkolɛno	Upper Sorbian	ˈk o l ɛ n o	1 7 5 7 4 7	AXBYBZ	kolEno	16	16.k.C 16.o.V 16.l.C 16.E.V 16.n.C 16.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	ˈk o l ɛ n o
1304	81	knee	коляно	koˈlʲano	Bulgarian	k o ˈlʲ a n o	1 7 5 7 4 7	AXBYBZ	kolano	2	2.k.C 2.o.V 2.l.C 2.a.V 2.n.C 2.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	k o ˈlʲ a n o
1305	81	knee	колено	kɐˈlʲenə	Macedonian	k ɐ ˈlʲ e n ə	1 7 5 7 4 7	AXBYBZ	kalenI	6	6.k.C 6.a.V 6.l.C 6.e.V 6.n.C 6.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	k ɐ ˈlʲ e n ə
1306	81	knee	koleno	ˈkolɛno	Serbo-Croatian Latin	ˈk o l ɛ n o	1 7 5 7 4 7	AXBYBZ	kolEno	12	12.k.C 12.o.V 12.l.C 12.E.V 12.n.C 12.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	ˈk o l ɛ n o
1307	81	knee	колено	kɐˈlʲenə	Serbo-Croatian Cyrillic	k ɐ ˈlʲ e n ə	1 7 5 7 4 7	AXBYBZ	kalenI	11	11.k.C 11.a.V 11.l.C 11.e.V 11.n.C 11.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	k ɐ ˈlʲ e n ə
1308	81	knee	koleno	ˈkolɛno	Slovene	ˈk o l ɛ n o	1 7 5 7 4 7	AXBYBZ	kolEno	14	14.k.C 14.o.V 14.l.C 14.E.V 14.n.C 14.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	ˈk o l ɛ n o
1310	81	knee	колено	kɐˈlʲenə	Russian	k ɐ ˈlʲ e n ə	1 7 5 7 4 7	AXBYBZ	kalenI	9	9.k.C 9.a.V 9.l.C 9.e.V 9.n.C 9.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	357	k ɐ ˈlʲ e n ə
#
2433	152	lake	lake	leɪk	English	l eɪ k	5 7 1	AXN	lek	4	4.l.C 4.e.V 4.k.c	2.0 1.5 0.8	0	362	l eɪ k
2435	152	lake	jezero	ʹjɛzɛro	Czech	ʹj ɛ z ɛ r o	6 7 3 7 5 7	AXBYBZ	yEzEro	3	3.y.C 3.E.V 3.z.C 3.E.V 3.r.C 3.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	ʹj ɛ z ɛ r o
2436	152	lake	jezioro	jɛˈʑɔrɔ	Polish	j ɛ ˈʑ ɔ r ɔ	6 7 3 7 5 7	AXBYBZ	yEZoro	8	8.y.C 8.E.V 8.Z.C 8.o.V 8.r.C 8.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	j ɛ ˈʑ ɔ r ɔ
2437	152	lake	jazero	ˈjazɛrɔ	Slovak	ˈj a z ɛ r ɔ	6 7 3 7 5 7	AXBYBZ	yazEro	13	13.y.C 13.a.V 13.z.C 13.E.V 13.r.C 13.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	ˈj a z ɛ r ɔ
2438	152	lake	jazoro	ˈjazɔrɔ	Lower Sorbian	ˈj a z ɔ r ɔ	6 7 3 7 5 7	AXBYBZ	yazoro	5	5.y.C 5.a.V 5.z.C 5.o.V 5.r.C 5.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	ˈj a z ɔ r ɔ
2440	152	lake	езеро	ˈɛzɛro	Bulgarian	ˈɛ z ɛ r o	7 3 7 5 7	XBYBZ	EzEro	2	2.E.V 2.z.C 2.E.V 2.r.C 2.o.V	1.5 1.75 1.3 1.75 0.8	0	360	- ˈɛ z ɛ r o
2441	152	lake	езеро	ˈɛzɛro	Macedonian	ˈɛ z ɛ r o	7 3 7 5 7	XBYBZ	EzEro	6	6.E.V 6.z.C 6.E.V 6.r.C 6.o.V	1.5 1.75 1.3 1.75 0.8	0	360	- ˈɛ z ɛ r o
2442	152	lake	jezero	ʹjɛzɛro	Serbo-Croatian Latin	ʹj ɛ z ɛ r o	6 7 3 7 5 7	AXBYBZ	yEzEro	12	12.y.C 12.E.V 12.z.C 12.E.V 12.r.C 12.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	ʹj ɛ z ɛ r o
2443	152	lake	језеро	jêzero	Serbo-Croatian Cyrillic	j ê z e r o	6 7 3 7 5 7	AXBYBZ	yezero	11	11.y.C 11.e.V 11.z.C 11.e.V 11.r.C 11.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	j ê z e r o
2444	152	lake	jezero	ʹjɛzɛro	Slovene	ʹj ɛ z ɛ r o	6 7 3 7 5 7	AXBYBZ	yEzEro	14	14.y.C 14.E.V 14.z.C 14.E.V 14.r.C 14.o.V	2.0 1.5 1.75 1.3 1.75 0.8	0	360	ʹj ɛ z ɛ r o
2446	152	lake	озеро	ˈozʲɪrə	Russian	ˈo zʲ ɪ r ə	7 3 7 5 7	XBYBZ	ozirI	9	9.o.V 9.z.C 9.i.V 9.r.C 9.I.V	1.5 1.75 1.3 1.75 0.8	0	360	- ˈo zʲ ɪ r ə
2447	152	lake	озеро	ˈozʲɪrə	Rusyn	ˈo zʲ ɪ r ə	7 3 7 5 7	XBYBZ	ozirI	10	10.o.V 10.z.C 10.i.V 10.r.C 10.I.V	1.5 1.75 1.3 1.75 0.8	0	360	- ˈo zʲ ɪ r ə
2448	152	lake	озеро	ˈozʲɪrə	Ukrainian	ˈo zʲ ɪ r ə	7 3 7 5 7	XBYBZ	ozirI	15	15.o.V 15.z.C 15.i.V 15.r.C 15.I.V	1.5 1.75 1.3 1.75 0.8	0	360	- ˈo zʲ ɪ r ə
#
881	55	leaf	leaf	liːf	English	l iː f	5 7 3	AXN	lif	4	4.l.C 4.i.V 4.f.c	2.0 1.5 0.8	0	363	l iː - - f
883	55	leaf	list	lɪst	Czech	l ɪ s t	5 7 3 1	AXLN	list	3	3.l.C 3.i.V 3.s.c 3.t.c	2.0 1.5 1.1 0.8	0	363	l ɪ s t -
884	55	leaf	liść	lʲiɕtɕ	Polish	lʲ i ɕ t ɕ	5 7 3 1 3	AXMBC	liStS	8	8.l.C 8.i.V 8.S.c 8.t.C 8.S.C	2.0 1.5 1.1 1.75 1.5	0	363	lʲ i ɕ t ɕ
885	55	leaf	list	lɪst	Slovak	l ɪ s t	5 7 3 1	AXLN	list	13	13.l.C 13.i.V 13.s.c 13.t.c	2.0 1.5 1.1 0.8	0	363	l ɪ s t -
886	55	leaf	list	lɪst	Lower Sorbian	l ɪ s t	5 7 3 1	AXLN	list	5	5.l.C 5.i.V 5.s.c 5.t.c	2.0 1.5 1.1 0.8	0	363	l ɪ s t -
888	55	leaf	лист	lʲist	Bulgarian	lʲ i s t	5 7 3 1	AXLN	list	2	2.l.C 2.i.V 2.s.c 2.t.c	2.0 1.5 1.1 0.8	0	363	lʲ i s t -
889	55	leaf	лист	lʲist	Macedonian	lʲ i s t	5 7 3 1	AXLN	list	6	6.l.C 6.i.V 6.s.c 6.t.c	2.0 1.5 1.1 0.8	0	363	lʲ i s t -
890	55	leaf	list	lɪst	Serbo-Croatian Latin	l ɪ s t	5 7 3 1	AXLN	list	12	12.l.C 12.i.V 12.s.c 12.t.c	2.0 1.5 1.1 0.8	0	363	l ɪ s t -
891	55	leaf	лист	lʲist	Serbo-Croatian Cyrillic	lʲ i s t	5 7 3 1	AXLN	list	11	11.l.C 11.i.V 11.s.c 11.t.c	2.0 1.5 1.1 0.8	0	363	lʲ i s t -
892	55	leaf	list	lɪst	Slovene	l ɪ s t	5 7 3 1	AXLN	list	14	14.l.C 14.i.V 14.s.c 14.t.c	2.0 1.5 1.1 0.8	0	363	l ɪ s t -
894	55	leaf	лист	lʲist	Russian	lʲ i s t	5 7 3 1	AXLN	list	9	9.l.C 9.i.V 9.s.c 9.t.c	2.0 1.5 1.1 0.8	0	363	lʲ i s t -
895	55	leaf	лист	lʲist	Rusyn	lʲ i s t	5 7 3 1	AXLN	list	10	10.l.C 10.i.V 10.s.c 10.t.c	2.0 1.5 1.1 0.8	0	363	lʲ i s t -
896	55	leaf	лист	lʲist	Ukrainian	lʲ i s t	5 7 3 1	AXLN	list	15	15.l.C 15.i.V 15.s.c 15.t.c	2.0 1.5 1.1 0.8	0	363	lʲ i s t -
#
3185	199	left	left	lɛft	English	l ɛ f t	5 7 3 1	AXLN	lEft	4	4.l.C 4.E.V 4.f.c 4.t.c	2.0 1.5 1.1 0.8	0	365	l ɛ f t - -
3187	199	left	levý	lɛvi	Czech	l ɛ v i	5 7 3 7	AXBZ	lEvi	3	3.l.C 3.E.V 3.v.C 3.i.V	2.0 1.5 1.75 0.8	0	365	l ɛ v - i -
3188	199	left	lewy	ˈlɛvɨ	Polish	ˈl ɛ v ɨ	5 7 3 7	AXBZ	lEvI	8	8.l.C 8.E.V 8.v.C 8.I.V	2.0 1.5 1.75 0.8	0	365	ˈl ɛ v - ɨ -
3190	199	left	lěwy	ˈlʲiɪwɨ	Lower Sorbian	ˈlʲ iɪ w ɨ	5 7 6 7	AXBZ	liwI	5	5.l.C 5.i.V 5.w.C 5.I.V	2.0 1.5 1.75 0.8	0	365	ˈlʲ iɪ w - ɨ -
3191	199	left	lěwy	ˈlʲiɪwɨ	Upper Sorbian	ˈlʲ iɪ w ɨ	5 7 6 7	AXBZ	liwI	16	16.l.C 16.i.V 16.w.C 16.I.V	2.0 1.5 1.75 0.8	0	365	ˈlʲ iɪ w - ɨ -
3192	199	left	ляв	ˈlʲaf	Bulgarian	ˈlʲ a f	5 7 3	AXN	laf	2	2.l.C 2.a.V 2.f.c	2.0 1.5 0.8	0	365	ˈlʲ a f - - -
3193	199	left	лево	ˈlʲevə	Macedonian	ˈlʲ e v ə	5 7 3 7	AXBZ	levI	6	6.l.C 6.e.V 6.v.C 6.I.V	2.0 1.5 1.75 0.8	0	365	ˈlʲ e v - ə -
3194	199	left	levi	ˈlevi	Serbo-Croatian Latin	ˈl e v i	5 7 3 7	AXBZ	levi	12	12.l.C 12.e.V 12.v.C 12.i.V	2.0 1.5 1.75 0.8	0	365	ˈl e v - i -
3195	199	left	леви	lêːʋiː	Serbo-Croatian Cyrillic	l êː ʋ iː	5 7 6 7	AXBZ	lewi	11	11.l.C 11.e.V 11.w.C 11.i.V	2.0 1.5 1.75 0.8	0	365	l êː ʋ - iː -
3196	199	left	levi	ˈlevi	Slovene	ˈl e v i	5 7 3 7	AXBZ	levi	14	14.l.C 14.e.V 14.v.C 14.i.V	2.0 1.5 1.75 0.8	0	365	ˈl e v - i -
3197	199	left	левы	ˈlʲevɨ	Belarusian	ˈlʲ e v ɨ	5 7 3 7	AXBZ	levI	1	1.l.C 1.e.V 1.v.C 1.I.V	2.0 1.5 1.75 0.8	0	365	ˈlʲ e v - ɨ -
3198	199	left	левый	ˈlʲevɨj	Russian	ˈlʲ e v ɨ j	5 7 3 7 6	AXBYN	levIy	9	9.l.C 9.e.V 9.v.C 9.I.V 9.y.c	2.0 1.5 1.75 1.3 0.8	0	365	ˈlʲ e v - ɨ j
#
1281	80	leg	leg	lɛɡ	English	l ɛ ɡ	5 7 1	AXN	lEg	4	4.l.C 4.E.V 4.g.c	2.0 1.5 0.8	0	367	- l ɛ ɡ
1282	80	leg	нога	noˈɡa	Old Church Slavonic	n o ˈɡ a	4 7 1 7	AXBZ	noga	7	7.n.C 7.o.V 7.g.C 7.a.V	2.0 1.5 1.75 0.8	0	370	n o ˈɡ a
