# Wordlist

# META
@vowels:T V _

# DATA
ID	GLOSSID	CONCEPT	COUNTERPART	IPA	DOCULECT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	CUSTOMID	ALIGNMENT
1065	1064	egg	јајце	jǎːjtse	Macedonian	j ǎː j t s e	6 7 6 1 3 7	AXMBCZ	JAJTSE	6	6.J.C 6.A.V 6.J.c 6.T.C 6.S.C 6.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	172	j ǎː j t s e
1066	1065	egg	jaje	jǎːje	Serbo-Croatian Latin	j ǎː j e	6 7 6 7	AXBZ	JAJE	12	12.J.C 12.A.V 12.J.C 12.E.V	2.0 1.5 1.75 0.8	0	172	j ǎː j - - e
1067	1066	egg	јаје	jǎːje	Serbo-Croatian Cyrillic	j ǎː j e	6 7 6 7	AXBZ	JAJE	11	11.J.C 11.A.V 11.J.C 11.E.V	2.0 1.5 1.75 0.8	0	172	j ǎː j - - e
1068	1067	egg	jajce	ˈjajt͡sɛ	Slovene	ˈj a j t͡s ɛ	6 7 6 2 7	AXMBZ	JAJCE	14	14.J.C 14.A.V 14.J.c 14.C.C 14.E.V	2.0 1.5 1.1 1.75 0.8	0	172	ˈj a j t͡s - ɛ
1071	1070	egg	яйце	jəiˈt͡sɛ	Rusyn	j əi ˈt͡s ɛ	6 7 2 7	AXBZ	JECE	10	10.J.C 10.E.V 10.C.C 10.E.V	2.0 1.5 1.75 0.8	0	172	j əi - ˈt͡s - ɛ
1072	1071	egg	яйце	jəiˈt͡sɛ	Ukrainian	j əi ˈt͡s ɛ	6 7 2 7	AXBZ	JECE	15	15.J.C 15.E.V 15.C.C 15.E.V	2.0 1.5 1.75 0.8	0	172	j əi - ˈt͡s - ɛ
#
1169	1168	eye	eye	aɪ	English	aɪ	7	X	A	4	4.A.V	1.5	1	183	aɪ
1170	1169	eye	око	oˈkɔ	Old Church Slavonic	o ˈk ɔ	7 1 7	XBZ	UKU	7	7.U.V 7.K.C 7.U.V	1.5 1.75 0.8	0	181	o ˈk ɔ
1171	1170	eye	oko	ˈoko	Czech	ˈo k o	7 1 7	XBZ	UKU	3	3.U.V 3.K.C 3.U.V	1.5 1.75 0.8	0	181	ˈo k o
1172	1171	eye	oko	ˈoko	Polish	ˈo k o	7 1 7	XBZ	UKU	8	8.U.V 8.K.C 8.U.V	1.5 1.75 0.8	0	181	ˈo k o
1173	1172	eye	oko	ˈoko	Slovak	ˈo k o	7 1 7	XBZ	UKU	13	13.U.V 13.K.C 13.U.V	1.5 1.75 0.8	0	181	ˈo k o
1174	1173	eye	woko	ˈɔkɔ	Lower Sorbian	ˈɔ k ɔ	7 1 7	XBZ	UKU	5	5.U.V 5.K.C 5.U.V	1.5 1.75 0.8	0	181	ˈɔ k ɔ
1176	1175	eye	око	oˈkɔ	Bulgarian	o ˈk ɔ	7 1 7	XBZ	UKU	2	2.U.V 2.K.C 2.U.V	1.5 1.75 0.8	0	181	o ˈk ɔ
1177	1176	eye	око	oˈkɔ	Macedonian	o ˈk ɔ	7 1 7	XBZ	UKU	6	6.U.V 6.K.C 6.U.V	1.5 1.75 0.8	0	181	o ˈk ɔ
1178	1177	eye	oko	ˈoko	Serbo-Croatian Latin	ˈo k o	7 1 7	XBZ	UKU	12	12.U.V 12.K.C 12.U.V	1.5 1.75 0.8	0	181	ˈo k o
1179	1178	eye	око	oˈkɔ	Serbo-Croatian Cyrillic	o ˈk ɔ	7 1 7	XBZ	UKU	11	11.U.V 11.K.C 11.U.V	1.5 1.75 0.8	0	181	o ˈk ɔ
1180	1179	eye	oko	ˈoko	Slovene	ˈo k o	7 1 7	XBZ	UKU	14	14.U.V 14.K.C 14.U.V	1.5 1.75 0.8	0	181	ˈo k o
1182	1181	eye	глаз	ɡlas	Russian	ɡ l a s	1 5 7 3	ACXN	KLAS	9	9.K.C 9.L.C 9.A.V 9.S.c	2.0 1.5 1.5 0.8	0	188	ɡ l a s
1183	1182	eye	око	oˈkɔ	Rusyn	o ˈk ɔ	7 1 7	XBZ	UKU	10	10.U.V 10.K.C 10.U.V	1.5 1.75 0.8	0	181	o ˈk ɔ
1184	1183	eye	око	oˈkɔ	Ukrainian	o ˈk ɔ	7 1 7	XBZ	UKU	15	15.U.V 15.K.C 15.U.V	1.5 1.75 0.8	0	181	o ˈk ɔ
#
3153	3152	far	far	fɑːɹ	English	f ɑː ɹ	3 7 5	AXN	BAR	4	4.B.C 4.A.V 4.R.c	2.0 1.5 0.8	0	190	f ɑː ɹ
3156	3155	far	daleki	daˈlɛ.kʲi	Polish	d a ˈl ɛ kʲ i	1 7 5 7 1 7	AXBYBZ	TALEKI	8	8.T.C 8.A.V 8.L.C 8.E.V 8.K.C 8.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	189	d a ˈl ɛ - kʲ i -
3158	3157	far	daloki	ˈdalɔkʲi	Lower Sorbian	ˈd a l ɔ kʲ i	1 7 5 7 1 7	AXBYBZ	TALUKI	5	5.T.C 5.A.V 5.L.C 5.U.V 5.K.C 5.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	189	ˈd a l ɔ - kʲ i -
3159	3158	far	daloki	ˈdalɔkʲi	Upper Sorbian	ˈd a l ɔ kʲ i	1 7 5 7 1 7	AXBYBZ	TALUKI	16	16.T.C 16.A.V 16.L.C 16.U.V 16.K.C 16.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	189	ˈd a l ɔ - kʲ i -
3160	3159	far	далечен	dəˈlɛtʃɛn	Bulgarian	d ə ˈl ɛ t ʃ ɛ n	1 7 5 7 1 3 7 4	AXBYBCYN	TELETSEN	2	2.T.C 2.E.V 2.L.C 2.E.V 2.T.C 2.S.C 2.E.V 2.N.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8	0	189	d ə ˈl ɛ t ʃ ɛ n
3161	3160	far	далечен	dəˈlɛtʃɛn	Macedonian	d ə ˈl ɛ t ʃ ɛ n	1 7 5 7 1 3 7 4	AXBYBCYN	TELETSEN	6	6.T.C 6.E.V 6.L.C 6.E.V 6.T.C 6.S.C 6.E.V 6.N.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8	0	189	d ə ˈl ɛ t ʃ ɛ n
3162	3161	far	dalek	dǎlek	Serbo-Croatian Latin	d ǎ l e k	1 7 5 7 1	AXBYN	TALEK	12	12.T.C 12.A.V 12.L.C 12.E.V 12.K.c	2.0 1.5 1.75 1.3 0.8	0	189	d ǎ l e - k - -
3163	3162	far	далек	dǎlek	Serbo-Croatian Cyrillic	d ǎ l e k	1 7 5 7 1	AXBYN	TALEK	11	11.T.C 11.A.V 11.L.C 11.E.V 11.K.c	2.0 1.5 1.75 1.3 0.8	0	189	d ǎ l e - k - -
3166	3165	far	далёкий	dɐˈlʲɵkʲɪj	Russian	d ɐ ˈlʲ ɵ kʲ ɪ j	1 7 5 7 1 7 6	AXBYBYN	TELUKIJ	9	9.T.C 9.E.V 9.L.C 9.U.V 9.K.C 9.I.V 9.J.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	189	d ɐ ˈlʲ ɵ - kʲ ɪ j
#
1041	1040	fat	fat	fæt	English	f æ t	3 7 1	AXN	BET	4	4.B.C 4.E.V 4.T.c	2.0 1.5 0.8	0	193	f æ t
1043	1042	fat	tuk	toʔ	Czech	t o ʔ	1 7 1	AXN	TUH	3	3.T.C 3.U.V 3.H.c	2.0 1.5 0.8	0	192	t o ʔ
1044	1043	fat	tłuszcz	twuʂt͡ʂ	Polish	t w u ʂ t͡ʂ	1 6 7 3 2	ACXLN	TWYSC	8	8.T.C 8.W.C 8.Y.V 8.S.c 8.C.c	2.0 1.5 1.5 1.1 0.8	0	196	t w u ʂ t͡ʂ
1046	1045	fat	tucne	ˈtut͡snɛ	Lower Sorbian	ˈt u t͡s n ɛ	1 7 2 4 7	AXBCZ	TYCNE	5	5.T.C 5.Y.V 5.C.C 5.N.C 5.E.V	2.0 1.5 1.75 1.5 0.8	0	194	ˈt u t͡s n ɛ
1047	1046	fat	tuk	toʔ	Upper Sorbian	t o ʔ	1 7 1	AXN	TUH	16	16.T.C 16.U.V 16.H.c	2.0 1.5 0.8	0	192	t o ʔ
1048	1047	fat	мазнина	məzniˈna	Bulgarian	m ə z n i ˈn a	4 7 3 4 7 4 7	AXBCYBZ	MESNINA	2	2.M.C 2.E.V 2.S.C 2.N.C 2.I.V 2.N.C 2.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	191	m ə z n i ˈn a
1049	1048	fat	маст	mâːst	Macedonian	m âː s t	4 7 3 1	AXLN	MAST	6	6.M.C 6.A.V 6.S.c 6.T.c	2.0 1.5 1.1 0.8	0	195	m âː s t
1050	1049	fat	debljina	debʎǐna	Serbo-Croatian Latin	d e b ʎ ǐ n a	1 7 1 5 7 4 7	AXBCYBZ	TEPLINA	12	12.T.C 12.E.V 12.P.C 12.L.C 12.I.V 12.N.C 12.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	198	d e b ʎ ǐ n a
1051	1050	fat	дебљина	debʎǐna	Serbo-Croatian Cyrillic	d e b ʎ ǐ n a	1 7 1 5 7 4 7	AXBCYBZ	TEPLINA	11	11.T.C 11.E.V 11.P.C 11.L.C 11.I.V 11.N.C 11.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	198	d e b ʎ ǐ n a
1054	1053	fat	жир	ʐɨr	Russian	ʐ ɨ r	3 7 5	AXN	SIR	9	9.S.C 9.I.V 9.R.c	2.0 1.5 0.8	0	197	ʐ ɨ r
1056	1055	fat	жир	ʐɨr	Ukrainian	ʐ ɨ r	3 7 5	AXN	SIR	15	15.S.C 15.I.V 15.R.c	2.0 1.5 0.8	0	197	ʐ ɨ r
#
675	674	father	otec	ˈotɛt͡s	Czech	ˈo t ɛ t͡s	7 1 7 2	XBYN	UTEC	3	3.U.V 3.T.C 3.E.V 3.C.c	1.5 1.75 1.3 0.8	0	200	ˈo t ɛ t͡s -
676	675	father	ojciec	ˈɔj.t͡ɕɛt͡s	Polish	ˈɔ j t͡ɕ ɛ t͡s	7 6 2 7 2	XMBYN	UJCEC	8	8.U.V 8.J.c 8.C.C 8.E.V 8.C.c	1.5 1.1 1.75 1.3 0.8	0	203	ˈɔ j t͡ɕ ɛ t͡s
677	676	father	otec	ˈotɛt͡s	Slovak	ˈo t ɛ t͡s	7 1 7 2	XBYN	UTEC	13	13.U.V 13.T.C 13.E.V 13.C.c	1.5 1.75 1.3 0.8	0	200	ˈo t ɛ t͡s -
678	677	father	nan	næn	Lower Sorbian	n æ n	4 7 4	AXN	NEN	5	5.N.C 5.E.V 5.N.c	2.0 1.5 0.8	0	201	n æ n
679	678	father	nan	næn	Upper Sorbian	n æ n	4 7 4	AXN	NEN	16	16.N.C 16.E.V 16.N.c	2.0 1.5 0.8	0	201	n æ n
680	679	father	баща	bəˈʃta	Bulgarian	b ə ˈʃ t a	1 7 3 1 7	AXMBZ	PESTA	2	2.P.C 2.E.V 2.S.c 2.T.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	199	b ə ˈʃ t a
681	680	father	татко	ˈtatko	Macedonian	ˈt a t k o	1 7 1 1 7	AXMBZ	TATKU	6	6.T.C 6.A.V 6.T.c 6.K.C 6.U.V	2.0 1.5 1.1 1.75 0.8	0	202	ˈt a t k o
682	681	father	otac	ǒtats	Serbo-Croatian Latin	ǒ t a t s	7 1 7 1 3	XBYBC	UTATS	12	12.U.V 12.T.C 12.A.V 12.T.C 12.S.C	1.5 1.75 1.3 1.75 1.5	0	200	ǒ t a t s
683	682	father	отац	ǒtats	Serbo-Croatian Cyrillic	ǒ t a t s	7 1 7 1 3	XBYBC	UTATS	11	11.U.V 11.T.C 11.A.V 11.T.C 11.S.C	1.5 1.75 1.3 1.75 1.5	0	200	ǒ t a t s
684	683	father	oče	ˈɔ̀ːtʃɛ	Slovene	ˈɔ̀ː t ʃ ɛ	7 1 3 7	XBCZ	UTSE	14	14.U.V 14.T.C 14.S.C 14.E.V	1.5 1.75 1.5 0.8	0	200	ˈɔ̀ː t - ʃ ɛ
686	685	father	отец	oˈtɛts	Russian	o ˈt ɛ t s	7 1 7 1 3	XBYBC	UTETS	9	9.U.V 9.T.C 9.E.V 9.T.C 9.S.C	1.5 1.75 1.3 1.75 1.5	0	200	o ˈt ɛ t s
687	686	father	отець	ɔˈtɛt͡sʲ	Rusyn	ɔ ˈt ɛ t͡sʲ	7 1 7 1	XBYN	UTET	10	10.U.V 10.T.C 10.E.V 10.T.c	1.5 1.75 1.3 0.8	0	200	ɔ ˈt ɛ t͡sʲ -
688	687	father	батько	ˈbatʲkə	Ukrainian	ˈb a tʲ k ə	1 7 1 1 7	AXMBZ	PATKE	15	15.P.C 15.A.V 15.T.c 15.K.C 15.E.V	2.0 1.5 1.1 1.75 0.8	0	202	ˈb a tʲ k ə
#
1105	1104	feather	feather	ˈfɛðə	English	ˈf ɛ ð ə	3 7 3 7	AXBZ	BEDE	4	4.B.C 4.E.V 4.D.C 4.E.V	2.0 1.5 1.75 0.8	0	206	ˈf ɛ ð ə
1107	1106	feather	pero	ˈpɛro	Czech	ˈp ɛ r o	1 7 5 7	AXBZ	PERU	3	3.P.C 3.E.V 3.R.C 3.U.V	2.0 1.5 1.75 0.8	0	204	ˈp ɛ r o
1108	1107	feather	pióro	ˈpʲurɔ	Polish	ˈpʲ u r ɔ	1 7 5 7	AXBZ	PYRU	8	8.P.C 8.Y.V 8.R.C 8.U.V	2.0 1.5 1.75 0.8	0	204	ˈpʲ u r ɔ
1109	1108	feather	pero	ˈpɛro	Slovak	ˈp ɛ r o	1 7 5 7	AXBZ	PERU	13	13.P.C 13.E.V 13.R.C 13.U.V	2.0 1.5 1.75 0.8	0	204	ˈp ɛ r o
1110	1109	feather	pjero	ˈpʲɛrɔ	Lower Sorbian	ˈpʲ ɛ r ɔ	1 7 5 7	AXBZ	PERU	5	5.P.C 5.E.V 5.R.C 5.U.V	2.0 1.5 1.75 0.8	0	204	ˈpʲ ɛ r ɔ
1112	1111	feather	перо	pʲɪˈro	Bulgarian	pʲ ɪ ˈr o	1 7 5 7	AXBZ	PIRU	2	2.P.C 2.I.V 2.R.C 2.U.V	2.0 1.5 1.75 0.8	0	204	pʲ ɪ ˈr o
1113	1112	feather	перо	pʲɪˈro	Macedonian	pʲ ɪ ˈr o	1 7 5 7	AXBZ	PIRU	6	6.P.C 6.I.V 6.R.C 6.U.V	2.0 1.5 1.75 0.8	0	204	pʲ ɪ ˈr o
1114	1113	feather	pero	ˈpɛro	Serbo-Croatian Latin	ˈp ɛ r o	1 7 5 7	AXBZ	PERU	12	12.P.C 12.E.V 12.R.C 12.U.V	2.0 1.5 1.75 0.8	0	204	ˈp ɛ r o
1115	1114	feather	перо	pʲɪˈro	Serbo-Croatian Cyrillic	pʲ ɪ ˈr o	1 7 5 7	AXBZ	PIRU	11	11.P.C 11.I.V 11.R.C 11.U.V	2.0 1.5 1.75 0.8	0	204	pʲ ɪ ˈr o
1116	1115	feather	pero	ˈpɛro	Slovene	ˈp ɛ r o	1 7 5 7	AXBZ	PERU	14	14.P.C 14.E.V 14.R.C 14.U.V	2.0 1.5 1.75 0.8	0	204	ˈp ɛ r o
1118	1117	feather	перо	pʲɪˈro	Russian	pʲ ɪ ˈr o	1 7 5 7	AXBZ	PIRU	9	9.P.C 9.I.V 9.R.C 9.U.V	2.0 1.5 1.75 0.8	0	204	pʲ ɪ ˈr o
1119	1118	feather	перо	pʲɪˈro	Rusyn	pʲ ɪ ˈr o	1 7 5 7	AXBZ	PIRU	10	10.P.C 10.I.V 10.R.C 10.U.V	2.0 1.5 1.75 0.8	0	204	pʲ ɪ ˈr o
1120	1119	feather	перо	pʲɪˈro	Ukrainian	pʲ ɪ ˈr o	1 7 5 7	AXBZ	PIRU	15	15.P.C 15.I.V 15.R.C 15.U.V	2.0 1.5 1.75 0.8	0	204	pʲ ɪ ˈr o
#
305	304	few	few	fjuː	English	f j uː	3 6 7	ACX	BJY	4	4.B.C 4.J.C 4.Y.V	2.0 1.5 1.5	0	209	f j uː
307	306	few	málo	ˈmaːlo	Czech	ˈm aː l o	4 7 5 7	AXBZ	MALU	3	3.M.C 3.A.V 3.L.C 3.U.V	2.0 1.5 1.75 0.8	0	210	ˈm aː l - o
308	307	few	mało	ˈmawɔ	Polish	ˈm a w ɔ	4 7 6 7	AXBZ	MAWU	8	8.M.C 8.A.V 8.W.C 8.U.V	2.0 1.5 1.75 0.8	0	210	ˈm a w - ɔ
309	308	few	málo	ˈmaːlo	Slovak	ˈm aː l o	4 7 5 7	AXBZ	MALU	13	13.M.C 13.A.V 13.L.C 13.U.V	2.0 1.5 1.75 0.8	0	210	ˈm aː l - o
310	309	few	mało	ˈmawɔ	Lower Sorbian	ˈm a w ɔ	4 7 6 7	AXBZ	MAWU	5	5.M.C 5.A.V 5.W.C 5.U.V	2.0 1.5 1.75 0.8	0	210	ˈm a w - ɔ
311	310	few	mało	ˈmawɔ	Upper Sorbian	ˈm a w ɔ	4 7 6 7	AXBZ	MAWU	16	16.M.C 16.A.V 16.W.C 16.U.V	2.0 1.5 1.75 0.8	0	210	ˈm a w - ɔ
313	312	few	малку	ˈmaɫku	Macedonian	ˈm a ɫ k u	4 7 5 1 7	AXMBZ	MALKY	6	6.M.C 6.A.V 6.L.c 6.K.C 6.Y.V	2.0 1.5 1.1 1.75 0.8	0	210	ˈm a ɫ k u
314	313	few	malo	ˈma.ɽó	Serbo-Croatian Latin	ˈm a ɽ ó	4 7 5 7	AXBZ	MARU	12	12.M.C 12.A.V 12.R.C 12.U.V	2.0 1.5 1.75 0.8	0	210	ˈm a ɽ - ó
315	314	few	мало	ˈmalə	Serbo-Croatian Cyrillic	ˈm a l ə	4 7 5 7	AXBZ	MALE	11	11.M.C 11.A.V 11.L.C 11.E.V	2.0 1.5 1.75 0.8	0	210	ˈm a l - ə
316	315	few	malo	ˈma.ɽó	Slovene	ˈm a ɽ ó	4 7 5 7	AXBZ	MARU	14	14.M.C 14.A.V 14.R.C 14.U.V	2.0 1.5 1.75 0.8	0	210	ˈm a ɽ - ó
317	316	few	мала	mɐˈla	Belarusian	m ɐ ˈl a	4 7 5 7	AXBZ	MELA	1	1.M.C 1.E.V 1.L.C 1.A.V	2.0 1.5 1.75 0.8	0	210	m ɐ ˈl - a
318	317	few	мало	ˈmalə	Russian	ˈm a l ə	4 7 5 7	AXBZ	MALE	9	9.M.C 9.A.V 9.L.C 9.E.V	2.0 1.5 1.75 0.8	0	210	ˈm a l - ə
319	318	few	мало	ˈmalə	Rusyn	ˈm a l ə	4 7 5 7	AXBZ	MALE	10	10.M.C 10.A.V 10.L.C 10.E.V	2.0 1.5 1.75 0.8	0	210	ˈm a l - ə
320	319	few	мало	ˈmalə	Ukrainian	ˈm a l ə	4 7 5 7	AXBZ	MALE	15	15.M.C 15.A.V 15.L.C 15.E.V	2.0 1.5 1.75 0.8	0	210	ˈm a l - ə
#
1249	1248	fingernail	fingernail	ˈfɪŋɡɚˌneɪl	English	ˈf ɪ ŋ ɡ ɚ ˌn eɪ l	3 7 4 1 7 4 7 5	AXMBYBYN	BINKENEL	4	4.B.C 4.I.V 4.N.c 4.K.C 4.E.V 4.N.C 4.E.V 4.L.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	0	212	ˈf ɪ ŋ ɡ ɚ ˌn eɪ l
1252	1251	fingernail	paznokieć	pazˈnɔkʲɛt͡ɕ	Polish	p a z ˈn ɔ kʲ ɛ t͡ɕ	1 7 3 4 7 1 7 2	AXBCYBYN	PASNUKEC	8	8.P.C 8.A.V 8.S.C 8.N.C 8.U.V 8.K.C 8.E.V 8.C.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	215	p a z ˈn ɔ kʲ ɛ t͡ɕ
1253	1252	fingernail	necht	ˈɲɛxt	Slovak	ˈɲ ɛ x t	4 7 3 1	AXLN	NEGT	13	13.N.C 13.E.V 13.G.c 13.T.c	2.0 1.5 1.1 0.8	0	211	ˈɲ ɛ x - t
1254	1253	fingernail	nokś	nɔkɕ	Lower Sorbian	n ɔ k ɕ	4 7 1 3	AXBC	NUKS	5	5.N.C 5.U.V 5.K.C 5.S.C	2.0 1.5 1.75 1.5	0	211	n ɔ k - ɕ
1256	1255	fingernail	нокът	ˈnɔkət	Bulgarian	ˈn ɔ k ə t	4 7 1 7 1	AXBYN	NUKET	2	2.N.C 2.U.V 2.K.C 2.E.V 2.T.c	2.0 1.5 1.75 1.3 0.8	0	211	ˈn ɔ k ə t
1257	1256	fingernail	нокт	nɔkt	Macedonian	n ɔ k t	4 7 1 1	AXLN	NUKT	6	6.N.C 6.U.V 6.K.c 6.T.c	2.0 1.5 1.1 0.8	0	211	n ɔ k - t
1260	1259	fingernail	noht	ˈnóːxt	Slovene	ˈn óː x t	4 7 3 1	AXLN	NUGT	14	14.N.C 14.U.V 14.G.c 14.T.c	2.0 1.5 1.1 0.8	0	211	ˈn óː x - t
1262	1261	fingernail	ноготь	ˈnoɡətʲ	Russian	ˈn o ɡ ə tʲ	4 7 1 7 1	AXBYN	NUKET	9	9.N.C 9.U.V 9.K.C 9.E.V 9.T.c	2.0 1.5 1.75 1.3 0.8	0	211	ˈn o ɡ ə tʲ
#
2658	2657	fire	огнь	oɡnʲ	Old Church Slavonic	o ɡ nʲ	7 1 4	XBC	UKN	7	7.U.V 7.K.C 7.N.C	1.5 1.75 1.5	0	217	- o ɡ - nʲ
2659	2658	fire	oheň	ˈɔɦɛɲ	Czech	ˈɔ ɦ ɛ ɲ	7 3 7 4	XBYN	UHEN	3	3.U.V 3.H.C 3.E.V 3.N.c	1.5 1.75 1.3 0.8	0	217	- ˈɔ ɦ ɛ ɲ
2660	2659	fire	ogień	ˈɔɡʲɛɲ	Polish	ˈɔ ɡʲ ɛ ɲ	7 1 7 4	XBYN	UKEN	8	8.U.V 8.K.C 8.E.V 8.N.c	1.5 1.75 1.3 0.8	0	217	- ˈɔ ɡʲ ɛ ɲ
2661	2660	fire	oheň	ˈɔɦɛɲ	Slovak	ˈɔ ɦ ɛ ɲ	7 3 7 4	XBYN	UHEN	13	13.U.V 13.H.C 13.E.V 13.N.c	1.5 1.75 1.3 0.8	0	217	- ˈɔ ɦ ɛ ɲ
2662	2661	fire	wogeń	ˈɔɡʲenʲ	Lower Sorbian	ˈɔ ɡʲ e nʲ	7 1 7 4	XBYN	UKEN	5	5.U.V 5.K.C 5.E.V 5.N.c	1.5 1.75 1.3 0.8	0	217	- ˈɔ ɡʲ e nʲ
2664	2663	fire	огън	ˈɔɡən	Bulgarian	ˈɔ ɡ ə n	7 1 7 4	XBYN	UKEN	2	2.U.V 2.K.C 2.E.V 2.N.c	1.5 1.75 1.3 0.8	0	217	- ˈɔ ɡ ə n
2666	2665	fire	vatra	ʋâtra	Serbo-Croatian Latin	ʋ â t r a	6 7 1 5 7	AXBCZ	WATRA	12	12.W.C 12.A.V 12.T.C 12.R.C 12.A.V	2.0 1.5 1.75 1.5 0.8	0	222	ʋ â t r a
2667	2666	fire	ватра	ʋâtra	Serbo-Croatian Cyrillic	ʋ â t r a	6 7 1 5 7	AXBCZ	WATRA	11	11.W.C 11.A.V 11.T.C 11.R.C 11.A.V	2.0 1.5 1.75 1.5 0.8	0	222	ʋ â t r a
2668	2667	fire	ogenj	ɔ̀ːɡənʲ	Slovene	ɔ̀ː ɡ ə nʲ	7 1 7 4	XBYN	UKEN	14	14.U.V 14.K.C 14.E.V 14.N.c	1.5 1.75 1.3 0.8	0	217	- ɔ̀ː ɡ ə nʲ
2670	2669	fire	огонь	ɐˈɡonʲ	Russian	ɐ ˈɡ o nʲ	7 1 7 4	XBYN	EKUN	9	9.E.V 9.K.C 9.U.V 9.N.c	1.5 1.75 1.3 0.8	0	217	- ɐ ˈɡ o nʲ
2672	2671	fire	вогонь	wɔˈɦɔnʲ	Ukrainian	w ɔ ˈɦ ɔ nʲ	6 7 3 7 4	AXBYN	WUHUN	15	15.W.C 15.U.V 15.H.C 15.U.V 15.N.c	2.0 1.5 1.75 1.3 0.8	0	217	w ɔ ˈɦ ɔ nʲ
#
705	704	fish	fish	ˈfɪʃ	English	ˈf ɪ ʃ	3 7 3	AXN	BIS	4	4.B.C 4.I.V 4.S.c	2.0 1.5 0.8	0	226	ˈf ɪ ʃ
707	706	fish	ryba	ˈrɪba	Czech	ˈr ɪ b a	5 7 1 7	AXBZ	RIPA	3	3.R.C 3.I.V 3.P.C 3.A.V	2.0 1.5 1.75 0.8	0	223	ˈr ɪ b a
708	707	fish	ryba	ˈrɪba	Polish	ˈr ɪ b a	5 7 1 7	AXBZ	RIPA	8	8.R.C 8.I.V 8.P.C 8.A.V	2.0 1.5 1.75 0.8	0	223	ˈr ɪ b a
709	708	fish	ryba	ˈrɪba	Slovak	ˈr ɪ b a	5 7 1 7	AXBZ	RIPA	13	13.R.C 13.I.V 13.P.C 13.A.V	2.0 1.5 1.75 0.8	0	223	ˈr ɪ b a
710	709	fish	ryba	ˈrɪba	Lower Sorbian	ˈr ɪ b a	5 7 1 7	AXBZ	RIPA	5	5.R.C 5.I.V 5.P.C 5.A.V	2.0 1.5 1.75 0.8	0	223	ˈr ɪ b a
711	710	fish	ryba	ˈrɪba	Upper Sorbian	ˈr ɪ b a	5 7 1 7	AXBZ	RIPA	16	16.R.C 16.I.V 16.P.C 16.A.V	2.0 1.5 1.75 0.8	0	223	ˈr ɪ b a
712	711	fish	риба	ˈribə	Bulgarian	ˈr i b ə	5 7 1 7	AXBZ	RIPE	2	2.R.C 2.I.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	0	223	ˈr i b ə
713	712	fish	риба	ˈribə	Macedonian	ˈr i b ə	5 7 1 7	AXBZ	RIPE	6	6.R.C 6.I.V 6.P.C 6.E.V	2.0 1.5 1.75 0.8	0	223	ˈr i b ə
714	713	fish	riba	rʲɪˈbɐ	Serbo-Croatian Latin	rʲ ɪ ˈb ɐ	5 7 1 7	AXBZ	RIPE	12	12.R.C 12.I.V 12.P.C 12.E.V	2.0 1.5 1.75 0.8	0	223	rʲ ɪ ˈb ɐ
715	714	fish	риба	ˈribə	Serbo-Croatian Cyrillic	ˈr i b ə	5 7 1 7	AXBZ	RIPE	11	11.R.C 11.I.V 11.P.C 11.E.V	2.0 1.5 1.75 0.8	0	223	ˈr i b ə
716	715	fish	riba	rʲɪˈbɐ	Slovene	rʲ ɪ ˈb ɐ	5 7 1 7	AXBZ	RIPE	14	14.R.C 14.I.V 14.P.C 14.E.V	2.0 1.5 1.75 0.8	0	223	rʲ ɪ ˈb ɐ
717	716	fish	рыба	ˈrɨbə	Belarusian	ˈr ɨ b ə	5 7 1 7	AXBZ	RIPE	1	1.R.C 1.I.V 1.P.C 1.E.V	2.0 1.5 1.75 0.8	0	223	ˈr ɨ b ə
718	717	fish	рыба	ˈrɨbə	Russian	ˈr ɨ b ə	5 7 1 7	AXBZ	RIPE	9	9.R.C 9.I.V 9.P.C 9.E.V	2.0 1.5 1.75 0.8	0	223	ˈr ɨ b ə
719	718	fish	рыба	ˈrɨbə	Rusyn	ˈr ɨ b ə	5 7 1 7	AXBZ	RIPE	10	10.R.C 10.I.V 10.P.C 10.E.V	2.0 1.5 1.75 0.8	0	223	ˈr ɨ b ə
720	719	fish	риба	ˈribə	Ukrainian	ˈr i b ə	5 7 1 7	AXBZ	RIPE	15	15.R.C 15.I.V 15.P.C 15.E.V	2.0 1.5 1.75 0.8	0	223	ˈr i b ə
#
401	400	five	five	faɪv	English	f aɪ v	3 7 3	AXN	BAB	4	4.B.C 4.A.V 4.B.c	2.0 1.5 0.8	0	229	f aɪ v
